사용,ID,분류,프로그램명,한줄배지,소개문,검색제목,검색설명,대상,시간,인원,장소,개요제목,개요내용,활동유형제목,카드썸네일,카드썸네일설명,카드배지,카드배지색,카드제목,카드설명,카드태그,준비중,비고
O,together/leadership,학교폭력·리더십,미니 스포츠데이,학생 리더십·단합 활동,"팀 단합 / 공동체 프로그램에 최적화된 스포츠 미션 프로젝트
임원 프로그램 · 소규모 학교 | 학기 초 추천",미니 스포츠데이 | 학교폭력·리더십 · 아이덴티치,팀 스포츠 미션으로 협력과 학생 리더십을 경험하는 중·고등학생 대상 활동형 프로그램입니다.,중·고등학교,2 – 3시간,100명 이내,체육관·운동장,"팀 단합 / 공동체 프로그램에
최적화된 스포츠 미션 프로젝트","경쟁과 협력, 단합과 관계 형성을 중심으로 팀을 하나로 만듭니다
몸을 쓰는 것뿐 아니라 팀 빌딩의 화합이 합쳐진 게임들로 구성됩니다
임원 프로그램 및 소규모 학교에 최적화된 체험형 프로그램입니다
학기 초 관계 형성과 공동체 의식을 만드는 데 특히 효과적입니다",,/assets/images/programs/together/mini-sports.webp,미니 스포츠데이,학기초 추천,주황,미니|스포츠데이,팀 스포츠 미션을 통해 협력과 학생 리더십을 경험하는 활동형 프로그램.,"리더십캠프, 단합활동",,
O,together/domino,학교폭력·리더십,도미노 챌린지,협력 중심 관계형성 프로그램,"팀별로 도미노를 설계·설치하고 함께 쓰러뜨리며
협력의 성취감을 경험하는 학년 단위 체험 챌린지",도미노 챌린지 | 학교폭력·리더십 · 아이덴티치,팀별로 도미노를 설계·설치하고 함께 쓰러뜨리는 협력 체험 프로그램.,초5 – 고2,3교시 [150분],최대 한 학년,강당 / 교실,"설계하고, 세우고
함께 쓰러뜨립니다","역할 분담과 책임 수행으로 자기관리 역량을 기릅니다
공동 목표 달성을 위한 협력적 소통과 공동체 역량을 함양합니다
창의적 설계·문제 해결 경험으로 창의적 사고 역량을 신장합니다",,/assets/images/programs/together/domino.webp,도미노 챌린지,신학기 어울림,,도미노 챌린지,팀별 설계와 공동 미션을 통해 협력과 관계형성을 경험하는 학년 단위 프로그램.,"신학기 학급단합, 학교폭력예방",,
O,together/schoolping,학교폭력·리더십,"스쿨핑, 텐트밖은 스쿨",학급 공동체·팀빌딩 프로그램,"현장학습 대체 프로그램으로 가장 인기가 있는
놀이형 공동체 프로그램",스쿨핑(텐트밖은 스쿨) | 학교폭력·리더십 · 아이덴티치,신체활동과 협동 미션을 결합한 학급 공동체·팀빌딩 프로그램입니다.,초등학생 추천,4교시 [150분],최대 한 학년,강당 / 교실,"선생님과 아이들 모두
학교에서 안전하게 추억을 만드는
스쿨핑 체험","캠핑 장비를 활용하여 실제 텐트 설치·체험 진행
팀별 텐트 꾸미기로 단합력과 창의력을 동시에 키웁니다
안전 교육 · 공동체교육 · 리더십 교육 등 연계 운영 가능
체험형 신체 팀빌딩 게임으로 역동적인 신체활동을 진행합니다",활동 구성 예시,/assets/images/programs/together/schoolping.webp,"스쿨핑, 텐트밖은 스쿨",리더십 캠프,,스쿨핑|텐트밖은 스쿨,신체활동과 협동 미션을 결합한 학급 공동체·팀빌딩 프로그램.,"체육대회, 학급단합",,
O,together/facilitation,학교폭력·리더십,미션 퍼실리테이션,학생 리더십·소통교육,"퍼실리테이션을 활용하여
합리적인 문제해결을 재미있게 배우는 협동 프로그램",학생 리더십교육 미션 퍼실리테이션 | 아이덴티치,초4~중3 학생을 대상으로 소통·경청·학생 리더십을 활동과 퍼실리테이션으로 익히는 학생 리더십교육입니다.,초4 – 중3,2교시 [100분],최대 한 학년,강당 / 교실,"단 하나의 잘못된
아이디어는 없다!","퍼실리테이션 기법으로 아이디어를 모아 민주적으로 결정합니다
경청과 발언 훈련을 통해 협력적 소통 역량을 키웁니다
재미있는 게임으로 합리적 문제해결 과정을 자연스럽게 체험합니다
금연·학교폭력예방 등 다양한 주제 교육과 자유롭게 연계 가능합니다",퍼실리테이션 기법 예시,/assets/images/programs/together/facilitation.webp,미션 퍼실리테이션,사고력 토론,,미션 퍼실리테이션,퍼실리테이션과 활동을 접목해 소통·경청·학생 리더십을 익히는 교육.,"리더십, 토론·소통",,
O,together/violence-prevention,학교폭력·리더십,학교폭력예방 레크리에이션,전교생 관계형성 레크리에이션,"단순한 게임을 넘어서 원하는 교육적 스타일로 자유롭게 변경이 가능하여
즐기고 느끼면서 배우는 활동",학교폭력예방 레크리에이션 | 아이덴티치,전교생이 놀이와 협력 활동에 참여하며 학급과 학년의 관계형성과 공동체 경험을 만드는 학교 레크리에이션 프로그램입니다.,초중고 전학년,2교시 [100분],최대 전교생,강당 / 교실,"레크리에이션 전공 청소년지도사가
직접 진행하는 진짜 레크리에이션!","레크리에이션 전공 청소년지도사가 직접 기획·진행합니다
단순한 게임을 넘어 원하는 교육적 스타일로 자유롭게 변경 가능합니다
즐기고 느끼면서 자연스럽게 배우는 체험형 활동입니다
학교폭력예방·인성교육 등 다양한 교육 목표와 자유롭게 연계됩니다",활동 유형 예시,/assets/images/programs/together/violence-prevention.webp,학교폭력예방 레크리에이션,학교폭력예방,, 학교폭력예방|레크리에이션,전교생이 함께 참여하는 관계형성·공동체 레크리에이션.,"학교폭력예방, 전교생 화합",,
O,career/touching-voice,진로교육·체험,터칭보이스,찾아가는 자기이해 진로콘서트,"전문 가수의 음악 콘서트와 '발성심리학'을 기반으로
'노래'와 '음성'을 통해 나를 돌아보는 특별한 시간을 갖습니다!",자기이해 진로교육 터칭보이스 | 아이덴티치,"음악과 이야기, 참여 활동을 통해 자신의 감정과 성향을 이해하고 진로 방향을 탐색하는 찾아가는 진로콘서트입니다.",초등 ~ 고등학교,1~2교시,학급 ~ 학년 단위,강당 · 강의실,"전문 가수의 음악 콘서트와
'발성심리학'을 기반으로","'노래'와 '음성'을 통해 나를 돌아보는 특별한 시간을 갖습니다
단순한 콘서트가 아닌, 실제 발성법을 배우며 자존감 향상에 도움이 되는 활동입니다
심리·교육적 접근으로 목소리를 통해 나다움을 발견합니다",,/assets/images/programs/career/touching-voice.webp,터칭보이스,진로 01,,터칭보이스,"음악과 이야기, 참여 활동을 통해 자신의 감정과 성향을 이해하고 진로 방향을 탐색하는 진로콘서트형 프로그램.","자기이해, 진로콘서트",,
,career/job-lab,진로교육·체험,미래직업연구소,AI 시대 미래직업 탐색교육,"사라지는 직업, 새로 생기는 직업.
변화하는 세계에서 자신의 방향을 스스로 탐구합니다.",미래직업연구소 | 진로교육·체험 · 아이덴티치,AI 시대의 변화하는 직업을 직접 탐구하는 진로 강연 프로그램.,중학교 ~ 고등학교,1~2교시,학급 ~ 학년 단위,강당 · 강의실,"직업의 변화를 이해하고
나만의 방향을 찾습니다","AI 시대에 사라지는 직업과 새로 생기는 직업을 탐구합니다
나의 강점과 관심을 미래 직업과 연결해봅니다
나만의 미래 직업을 직접 설계하고 발표합니다",탐구 주제 예시,/assets/images/programs/career/job-lab.webp,미래직업연구소,진로 02,,미래직업연구소,AI 시대의 직업 변화와 다양한 직무를 탐구하고 나만의 미래 방향을 설계하는 진로교육 프로그램.,"직업탐색, 미래교육",O,
,career/talkshow,진로교육·체험,진로 토크쇼,다양한 직업인의 이야기를 토크쇼 형식으로 듣는 진로 탐색 프로그램,"직업 명칭이 아닌 일하는 사람의 이야기를 듣습니다.
다양한 직업인과의 토크쇼로 진로를 현실감 있게 탐색합니다.",진로 토크쇼 | 진로교육·체험 · 아이덴티치,다양한 직업인의 이야기를 토크쇼 형식으로 듣는 진로 탐색 프로그램.,중학교 ~ 고등학교,1~2교시,학급 ~ 학년 단위,강당 · 강의실,"직업인의 이야기로
진로를 현실감 있게 봅니다","실제 직업인이 강연자로 참여해 직접 이야기를 나눕니다
토크쇼 형식으로 편안하게 진로를 탐색합니다
Q&A를 통해 궁금한 것을 직접 질문할 수 있습니다",강연자 유형 예시,/assets/images/programs/career/career-talkshow.webp,진로 토크쇼,진로 03,,진로 토크쇼,다양한 직업인의 이야기를 토크쇼 형식으로 듣는 진로 탐색 프로그램.,"직업탐색, 진로탐구",,
,career/ceo-talk,진로교육·체험,내 인생의 CEO,창업가의 이야기로 내 삶의 주인이 되는 힘을 키우는 진로 강연,"창업가의 이야기를 통해 내 인생을 돌아봅니다.
내 인생의 대표는 나 자신임을 깨닫고
주체적으로 선택하는 사람이 되는 강연입니다.",내 인생의 CEO | 진로교육·체험 · 아이덴티치,창업가의 이야기로 내 삶의 주인이 되는 힘을 키우는 진로 강연 프로그램.,중학교 ~ 고등학교,1~2교시,학급 ~ 학년 단위,강당 · 강의실,"내 인생의 대표는
나 자신입니다","창업가가 직접 자신의 선택과 과정을 이야기합니다
내 인생의 주인이 나임을 깨닫는 시간을 갖습니다
주체적으로 선택하고 리더십을 키우는 방법을 배웁니다",핵심 메시지,/assets/images/programs/career/ceo-life.webp,내 인생의 CEO,진로 04,,내 인생의 CEO,창업가의 이야기로 내 삶의 주인이 되는 힘을 키우는 진로 강연 프로그램.,"주체성, 리더십",,
